Period,Start Date,End Date,ZIP Code,Service District,Quality of Life,Overall Feeling of Safety,Neighborhood Safety,City Appearance,Neighborhood Appearance,Nashville as Residence,Nashville as Place to Raise Children,Nashville as Workplace,Nashville as Place to Start/Grow Business,Nashville as Retirement Place,Metro Services - Overall,Value Received from Taxes,Elected Official Leadership,Elected Official Responsiveness,Elected Official Accessibility,Metro Transparency and Ethics,Metro Budgeting and Stewardship,Customer Service,Metro Communication,Decision Input Opportunity,Crime Prevention,Police - Overall,Fire and EMS - Overall,Streets and Sidewalks - Overall,Trash and Recycling - Overall,Public Education,Public Health - Overall,Public Library,Social Services - Overall,Economic Development - Overall,Parks and Recreation - Overall,Code Enforcement - Overall,Public Transit - Overall,Water Services - Overall,Metro-provided Arts and Culture - Overall,Affordable Housing - Overall,Historic Preservation - Overall,1st Priority Service,2nd Priority Service,3rd Priority Service,4th Priority Service,5th Priority Service,City Street Maintenance,Street Signs and Traffic Signals,Pedestrian Infrastructure,Curb Space Management,Bicycle Infrastructure,Trash Service,Curbside Recycling,Drop-off Recycling,Street Lighting,Public Works Personnel Professionalism,Police Visibility,Traffic Enforcement,Police Professionalism,Police Response Time,School Crossing Guards,School Resource Officers,Youth Violence Programs,Special Event Security,Fire Services,Fire Response Time,Emergency Medical Services (EMS),EMS Response Time,Fire Professionalism,EMS Professionalism,MTA Bus Service,Music City Circuit,AccessRide,Music City Star,Park and Ride,Bus Shelters,MTA Personnel Professionalism,Trash and Debris Enforcement,Lawn and Brush Enforcement,Exterior Maintenance Enforcement,Short-Term Rental Enforcement,STRP Complaint Hotline,Codes Personnel Professionalism,Codes Responsiveness,911 Services,Non-Emergency Number,hubNashville (311),Program Information Availability,Nashville.gov,Metro Video Programming,Metro Social Media,Parks Maintenance,Outdoor Athletic Fields,Walking and Biking Trails,Swimming Pools,Community Centers,Youth Recreation Programs,Senior Recreation Programs,Parks Personnel Professionalism,Park Safety,Burial Assistance Program,Family Support Services,Homeless Services,Nutrition Programs,Head Start / Early Head Start,Low Income Home Energy Assistance Program (LIHEAP),Violent Crime Victim Services,Tap Water,Water Service Reliability,Water Emergency Response,Flood Prevention,Stormwater Fund Use,Water Services Value,Water Services Communication,Water Services Information Availability,Water Services Social Media,Water Services Employee Interaction,Crime Victim,MNPD Officer Contact,311 (hubNashville) Usage,Nashville.gov Usage,Park / Community Center Usage,MTA Bus Service Usage,Bicycle Usage,Arts / Cultural Event Attendance,Public Library Usage,Metro Elected Official Contact,Public Meeting Attendance,Neighborhood Meeting Attendance,Monthly Housing Cost Over 30%,Rideshare / Bikeshare Usage,"Commute by Walking, Biking, or Bus",Affordable Housing Preference,Opioid Addiction,Neighborhood Tree Canopy,Internet Use for Information,Mobile Phone Internet Access,Home Internet Access,Natural Disaster Preparedness,$500 Emergency Expense,Healthcare Access,Healthy Food Access,Childcare Access,Pre-K Access,Public Transit Access,Park and Green Space Access,Affordable Housing Access,Diversity Support Efforts,Diversity Acceptance,Disability Access,Job Access,Neighborhood Arts and Culture,Small Business and Freelance Work Space,Farmers' Market,General Hospital,Emergency and Natural Disaster Response,No Children in Davidson County,Children Ages 0-5,Children Ages 6-13,Children Ages 14-17,Public School Attendance,Charter School Attendance,Private School Attendance,Other School Attendance,Other School Definition,School Quality,Own or Rent,Years Lived in Davidson County,Business Owner / Operator,Race / Ethnicity - White,Race / Ethnicity - Black,Race / Ethnicity - Hispanic,Race / Ethnicity - Asian or Pacific Islander,Race / Ethnicity - Native American or Alaskan Native,Race / Ethnicity - Other,Race / Ethnicity - Other Definition,Total Annual Household Income,Age,Gender Identity,Education Attained
2018Q3,09/06/2018,10/17/2018,37218,Urban Services District,Neutral,Very Dissatisfied,Dissatisfied,Neutral,Satisfied,Neutral,Below Average,Good,Neutral,Neutral,Satisfied,Dissatisfied,Dissatisfied,Neutral,Don't Know,Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Very Dissatisfied,Don't Know,Satisfied,Very Dissatisfied,Don't Know,Very Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Economic developmentEconomic development,,,,,Dissatisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Very Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Satisfied,Neutral,Neutral,Don't Know,Dissatisfied,Don't Know,Don't Know,Neutral,Don't Know,Neutral,Neutral,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Don't Know,No,No,No,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,true,Yes,Yes,Yes,Yes,Yes,Yes,Very Dissatisfied,Very Dissatisfied,Don't Know,Don't Know,Very Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied,Don't Know,Don't Know,Very Dissatisfied,Dissatisfied,Don't Know,Satisfied,Satisfied,Satisfied,Yes,,,,,,,,,,Own,58,No,,Yes,,,,,,"$60,000 to $99,999",55-64,Female,Bachelor's degree
2018Q3,09/06/2018,10/17/2018,37207,Urban Services District,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Below Average,Below Average,Neutral,Neutral,Poor,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Streets and sidewalks,Social services,Public transportation,Police,Metro-provided arts and culture,Very Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Don't Know,Dissatisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Neutral,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Satisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Neutral,Don't Know,Satisfied,Neutral,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,true,No,Yes,Yes,Yes,Yes,Yes,Neutral,Satisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Don't Know,Very Satisfied,Very Satisfied,Don't Know,Neutral,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Yes,,,,,,,,,,Own,10,Yes,Yes,,,,,,,,18-24,Female,High school graduate
2018Q3,09/06/2018,10/17/2018,37208,Urban Services District,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Economic developmentEconomic development,,,,,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,false,Yes,No,No,No,No,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,Yes,Yes,Yes,Yes,,,,,Failing,Rent,64,No,Yes,Yes,Yes,Yes,Yes,Yes,Mixed,"Under $30,000",45-54,Female,Less than high school
2018Q3,09/06/2018,10/17/2018,37204,Urban Services District,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Good,Good,Good,Neutral,Below Average,Neutral,Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Don't Know,Public education,Police,Public transportation,Water / stormwater,Parks and recreation,Neutral,Satisfied,Neutral,Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Don't Know,Very Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Dissatisfied,Don't Know,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Dissatisfied,Neutral,Don't Know,Neutral,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Don't Know,Satisfied,Satisfied,Don't Know,Don't Know,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Neutral,Very Dissatisfied,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,false,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,,Yes,Yes,,Yes,,,,,Excellent,Own,15,No,Yes,,,,Yes,,,"$100,000 or more",25-34,Male,Graduate degree
2018Q3,09/06/2018,10/17/2018,37221,Urban Services District,Very Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Neutral,Below Average,Neutral,Below Average,Neutral,Poor,Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Satisfied,Very Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,Economic developmentEconomic development,,,,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Satisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,true,No,No,Yes,Yes,Yes,Yes,Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Neutral,Yes,,,,,,,,,,Rent,4,Yes,Yes,,,Yes,,,,"$100,000 or more",55-64,Male,Some college
2018Q3,09/06/2018,10/17/2018,37204,Urban Services District,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Excellent,Excellent,Good,Excellent,Excellent,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Don't Know,Neutral,Neutral,Don't Know,Neutral,Neutral,Dissatisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Very Satisfied,Police,Fire and EMS,Streets and sidewalks,Public education,Social services,Dissatisfied,Neutral,Satisfied,Neutral,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Satisfied,Don't Know,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,true,Yes,Yes,Yes,Yes,Yes,Yes,Dissatisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,,Yes,,,,,Yes,,,Good,Own,2,No,Yes,,,,,,,"$100,000 or more",35-44,Male,Graduate degree
2018Q3,09/06/2018,10/17/2018,37138,General Services District,Dissatisfied,Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Good,Good,Good,Good,Good,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Very Satisfied,Dissatisfied,Neutral,Very Satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Social services,Public education,Affordable housing,Streets and sidewalks,Historic preservation,Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Very Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Very Satisfied,Neutral,Very Satisfied,Satisfied,Very Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Neutral,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,false,Yes,Yes,Yes,Yes,No,No,Satisfied,Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Neutral,Neutral,Yes,,,,,,,,,,Own,15,No,,Yes,,,,,,"$60,000 to $99,999",35-44,Female,Graduate degree
2018Q3,09/06/2018,10/17/2018,37218,Urban Services District,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Poor,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Very Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Don't Know,Very Dissatisfied,Dissatisfied,Don't Know,Very Dissatisfied,Don't Know,Police,Streets and sidewalks,Affordable housing,Public transportation,Code enforcement,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Satisfied,Neutral,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Neutral,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Very Dissatisfied,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,true,Yes,Yes,Yes,Yes,Yes,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Don't Know,Neutral,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Don't Know,,,Yes,Yes,Yes,Yes,,,,Average,Rent,38,No,,Yes,,,,,,"Under $30,000",25-34,Female,Associate's degree
2018Q3,09/06/2018,10/17/2018,37203,Urban Services District,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Don't Know,Neutral,Don't Know,Don't Know,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Neutral,Dissatisfied,Don't Know,Satisfied,Very Dissatisfied,Neutral,Affordable housing,Public transportation,Public education,Streets and sidewalks,Social services,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,Don't Know,Neutral,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Very Dissatisfied,Don't Know,Don't Know,Don't Know,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,false,Yes,Yes,Yes,Yes,Yes,Yes,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Neutral,Very Dissatisfied,Neutral,Neutral,Don't Know,Neutral,Satisfied,Don't Know,Very Satisfied,Don't Know,Don't Know,Yes,,,,,,,,,,Rent,2,No,Yes,,,,,,,"$60,000 to $99,999",18-24,Female,Bachelor's degree
2018Q3,09/06/2018,10/17/2018,37076,General Services District,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Good,Good,Excellent,Excellent,Below Average,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Police,Fire and EMS,Public education,Public health,Code enforcement,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Satisfied,Very Satisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,false,Yes,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Neutral,Yes,,,,,,,,,,Own,28,No,Yes,,,,,,,"$60,000 to $99,999",35-44,Male,Some college
2018Q3,09/06/2018,10/17/2018,37076,General Services District,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Good,Good,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Satisfied,Very Dissatisfied,Don't Know,Neutral,Don't Know,Satisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Don't Know,Satisfied,Neutral,Neutral,Dissatisfied,Public transportation,Streets and sidewalks,Code enforcement,Public education,Economic development,Dissatisfied,Satisfied,Dissatisfied,Neutral,Neutral,Don't Know,Don't Know,Neutral,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Don't Know,Very Dissatisfied,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Don't Know,Neutral,Neutral,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Very Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Satisfied,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,true,Yes,Yes,No,Yes,Yes,Yes,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Neutral,Neutral,Don't Know,Neutral,Neutral,Neutral,Don't Know,Don't Know,Satisfied,Yes,,,,,,,,,,Own,61,No,,,Yes,,,,,"$30,000 to $59,999",45-54,Male,High school graduate
2018Q3,09/06/2018,10/17/2018,37211,Urban Services District,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Good,Don't Know,Good,Don't Know,Neutral,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Dissatisfied,Don't Know,Don't Know,Dissatisfied,Neutral,Satisfied,Dissatisfied,Very Satisfied,Neutral,Very Satisfied,Neutral,Dissatisfied,Very Satisfied,Don't Know,Dissatisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Neutral,Very Dissatisfied,Dissatisfied,Affordable housing,Economic development,Police,Streets and sidewalks,Historic preservation,Neutral,Satisfied,Neutral,Neutral,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Don't Know,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,false,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Don't Know,Don't Know,Dissatisfied,Satisfied,Don't Know,Neutral,Neutral,Don't Know,Neutral,Very Dissatisfied,Very Dissatisfied,Don't Know,Neutral,Don't Know,Yes,,,,,,,,,,Own,30,No,,Yes,,,,,,"$30,000 to $59,999",45-54,Female,Some college
